City-State,Population,Population Density
ALTAMONT-UT,725.0,32.0
ALTAMONTE SPRINGS-FL,56439.0,3962.5
ALTAVISTA-VA,5693.0,158.0
ALTENBURG-MO,834.0,22.0
ALTHA-FL,4497.0,33.0
ALTHEIMER-AR,1311.0,8.0
ALTMAR-NY,1610.0,36.0
ALTO PASS-IL,677.0,20.0
ALTO-GA,8291.0,185.0
ALTO-MI,7585.0,156.0
ALTO-NM,2586.0,27.0
ALTO-TX,4179.0,18.0
ALTON BAY-NH,1538.0,67.0
ALTON-IA,1700.0,31.0
ALTON-IL,32704.0,778.0
ALTON-KS,270.0,2.0
ALTON-MO,3613.0,18.0
ALTON-NH,3716.0,92.0
ALTON-UT,131.0,4.0
ALTON-VA,2450.0,26.0
ALTONA-IL,854.0,17.0
ALTONA-NY,2148.0,33.0
ALTONAH-UT,302.0,6.0
ALTOONA-AL,7727.0,70.0
ALTOONA-FL,2705.0,48.0
ALTOONA-IA,16136.0,641.0
ALTOONA-KS,746.0,11.0
ALTOONA-PA,63424.0,1194.5
ALTOONA-WI,7039.0,1434.0
ALTURA-MN,1423.0,16.0
ALTURAS-CA,5490.0,9.0
ALTUS-AR,2048.0,56.0
ALTUS-OK,21636.0,118.0
ALUM BANK-PA,1872.0,53.0
ALUM BRIDGE-WV,354.0,14.0
ALUM CREEK-WV,2782.0,78.0
ALVA-FL,4947.0,80.0
ALVA-OK,6846.0,10.0
ALVA-WY,110.0,1.0
ALVADA-OH,1032.0,36.0
ALVARADO-MN,490.0,12.0
ALVARADO-TX,19759.0,201.0
ALVATON-KY,4368.0,116.0
ALVERDA-PA,266.0,160.0
ALVERTON-PA,474.0,189.0
ALVIN-IL,703.0,25.0
ALVIN-TX,46627.0,294.0
ALVISO-CA,2077.0,173.0
ALVO-NE,330.0,15.0
ALVORD-IA,462.0,18.0
ALVORD-TX,3156.0,32.0
ALVORDTON-OH,788.0,33.0
ALZADA-MT,159.0,0.0
AMA-LA,1316.0,374.0
AMADO-AZ,2231.0,11.0
AMADOR CITY-CA,198.0,113.0
AMAGANSETT-NY,1343.0,146.0
AMAGON-AR,248.0,12.0
AMALIA-NM,199.0,1.0
AMANA-IA,1932.0,42.0
AMANDA PARK-WA,398.0,5.0
AMANDA-OH,4512.0,76.0
AMARGOSA VALLEY-NV,1456.0,4.0
AMARILLO-TX,218766.0,2009.7692307692307
AMASA-MI,133.0,1.0
AMAWALK-NY,1219.0,871.0
AMAZONIA-MO,952.0,35.0
AMBER-OK,857.0,17.0
AMBERG-WI,875.0,9.0
AMBERSON-PA,193.0,16.0
AMBIA-IN,491.0,12.0
AMBLER-AK,259.0,0.0
AMBLER-PA,32412.0,1560.0
AMBOY-IL,3970.0,37.0
AMBOY-IN,1439.0,36.0
AMBOY-MN,1129.0,14.0
AMBOY-WA,2982.0,44.0
AMBRIDGE-PA,11861.0,1816.0
AMBROSE-GA,2248.0,28.0
AMBROSE-ND,80.0,1.0
AMELIA COURT HOUSE-VA,10439.0,40.0
AMELIA-LA,109.0,1519.0
AMELIA-NE,141.0,1.0
AMELIA-OH,22680.0,1030.0
AMENIA-ND,266.0,5.0
AMENIA-NY,2457.0,80.0
AMERICAN CANYON-CA,19681.0,1519.0
AMERICAN FALLS-ID,6374.0,11.0
AMERICAN FORK-UT,42384.0,733.0
AMERICUS-GA,26996.0,121.5
AMERICUS-KS,1360.0,23.0
AMERY-WI,8155.0,70.0
AMES-IA,57453.0,496.5
AMES-NE,517.0,16.0
AMES-OK,501.0,7.0
AMESBURY-MA,16283.0,1328.0
AMESVILLE-OH,1115.0,22.0
AMHERST JUNCTION-WI,1515.0,32.0
AMHERST-CO,154.0,2.0
AMHERST-MA,29049.0,528.0
AMHERST-NE,785.0,7.0
AMHERST-NH,11247.0,324.0
AMHERST-OH,20769.0,605.0
AMHERST-SD,88.0,2.0
AMHERST-TX,971.0,11.0
AMHERST-VA,10576.0,46.0
AMHERST-WI,3469.0,52.0
AMHERSTDALE-WV,1140.0,118.0
AMIDON-ND,132.0,1.0
AMISSVILLE-VA,5142.0,85.0
AMISTAD-NM,129.0,0.0
AMITE-LA,13797.0,81.0
AMITY-AR,3652.0,18.0
AMITY-MO,337.0,10.0
AMITY-OR,3794.0,68.0
AMITY-PA,1391.0,59.0
AMITYVILLE-NY,27109.0,5683.0
AMLIN-OH,2262.0,2275.0
AMMA-WV,264.0,36.0
AMO-IN,159.0,4265.0
AMORET-MO,525.0,14.0
AMORITA-OK,83.0,2.0
AMORY-MS,12528.0,88.0
AMSTERDAM-MO,665.0,15.0
AMSTERDAM-NY,28937.0,221.0
AMSTERDAM-OH,2208.0,59.0
AMSTON-CT,4083.0,257.0
ANABEL-MO,334.0,7.0
ANACOCO-LA,4584.0,33.0
ANACONDA-MT,8933.0,14.0
ANACORTES-WA,20429.0,385.0
ANADARKO-OK,9541.0,62.0
ANAHEIM-CA,354475.0,7832.857142857143
ANAHOLA-HI,2368.0,127.0
ANAHUAC-TX,4942.0,23.0
ANAKTUVUK PASS-AK,324.0,67.0
ANAMOOSE-ND,469.0,3.0
ANAMOSA-IA,8682.0,73.0
ANATONE-WA,273.0,1.0
ANAWALT-WV,675.0,41.0
ANCHOR POINT-AK,2510.0,7.0
ANCHOR-IL,236.0,8.0
ANCHORAGE-AK,240361.0,2829.3
ANCONA-IL,232.0,15.0
ANCRAM-NY,1164.0,36.0
