DRG,Bay,Central,Flint,Karmanos,Lansing,Lapeer,Macomb,Northern,Oakland,Port Huron
164,"$81,738 ",,"$66,323 ","$54,500 ","$77,182 ","$53,058 ","$66,025 ","$43,008 ",,"$47,169 "
165,"$45,726 ",,"$52,569 ","$51,855 ","$68,115 ","$42,390 ","$59,588 ","$35,361 ","$42,992 ","$34,698 "
166,"$83,994 ","$45,906 ","$72,088 ","$89,165 ","$56,125 ","$56,180 ","$68,225 ","$41,055 ","$49,344 ","$44,439 "
167,"$24,497 ","$23,644 ","$45,189 ","$34,221 ","$32,834 ","$27,729 ","$33,375 ","$22,929 ","$45,870 ","$25,480 "
168,"$21,138 ",,"$27,806 ",,"$38,335 ","$28,190 ","$38,376 ","$15,277 ","$13,832 ","$25,971 "
174,,,,,,,,"$39,140 ",,
175,"$36,705 ","$31,425 ","$35,958 ","$28,604 ","$31,041 ","$40,398 ","$36,240 ","$30,295 ","$40,188 ","$19,994 "
176,"$23,048 ","$10,466 ","$19,431 ","$12,012 ","$17,321 ","$26,285 ","$13,356 ","$13,048 ","$17,458 ","$14,403 "
177,"$38,833 ","$23,507 ","$30,696 ","$51,736 ","$37,403 ","$40,120 ","$26,377 ","$25,531 ","$35,728 ","$21,860 "
178,"$31,006 ","$11,659 ","$19,955 ","$15,653 ","$15,925 ","$22,944 ","$17,637 ","$15,613 ","$16,921 ","$15,308 "
179,"$17,446 ",,"$12,213 ",,"$26,897 ","$16,675 ","$13,181 ","$7,244 ","$12,756 ","$9,413 "
180,"$30,955 ","$11,860 ","$32,935 ","$28,798 ","$40,422 ","$37,248 ","$23,787 ","$16,992 ","$36,453 ","$22,695 "
181,"$24,136 ",,"$15,653 ","$19,044 ","$28,505 ","$33,301 ","$22,755 ","$25,116 ","$12,171 ","$15,689 "
182,"$10,090 ",,,,"$8,970 ","$13,035 ","$1,227 ",,"$31,154 ","$11,770 "
183,"$13,350 ",,"$33,523 ",,"$14,354 ","$37,993 ","$29,699 ","$29,251 ","$24,143 ","$18,250 "
184,"$15,171 ",,"$26,028 ",,"$23,468 ","$33,568 ","$18,861 ","$22,381 ","$26,159 ","$15,760 "
185,"$15,820 ",,"$16,422 ",,,,"$17,138 ","$17,596 ","$18,206 ",
186,"$28,175 ","$20,563 ","$24,472 ","$32,855 ","$31,630 ","$26,345 ","$20,683 ","$15,803 ","$22,781 ","$30,211 "
187,"$27,620 ","$11,150 ","$19,576 ","$8,896 ","$20,945 ","$32,360 ","$15,907 ","$13,960 ","$5,855 ","$11,275 "
188,"$7,423 ",,,,,,"$16,303 ",,,
189,"$26,117 ","$20,465 ","$23,250 ","$23,186 ","$26,895 ","$27,758 ","$21,047 ","$21,180 ","$14,898 ","$19,252 "
190,"$25,484 ","$18,668 ","$20,198 ","$17,618 ","$23,670 ","$26,386 ","$18,622 ","$14,380 ","$18,653 ","$16,806 "
191,"$18,618 ","$14,143 ","$17,284 ","$11,740 ","$19,847 ","$22,676 ","$14,975 ","$11,917 ","$12,042 ","$13,924 "
192,"$15,903 ",,"$11,653 ",,"$12,091 ","$13,783 ","$11,655 ","$10,492 ","$13,782 ","$11,376 "
193,"$30,500 ","$22,216 ","$26,833 ","$24,230 ","$28,557 ","$32,172 ","$20,507 ","$18,340 ","$19,699 ","$20,038 "
194,"$16,929 ","$14,312 ","$16,410 ","$13,070 ","$19,920 ","$21,469 ","$13,031 ","$12,302 ","$14,478 ","$14,022 "
195,"$15,448 ","$10,127 ","$12,939 ","$4,195 ","$13,268 ","$21,256 ","$11,414 ","$7,854 ","$11,594 ","$10,703 "
196,"$35,104 ","$64,838 ","$31,817 ","$91,631 ","$34,383 ","$32,826 ","$13,914 ","$17,886 ","$17,958 ","$19,077 "
197,"$31,021 ",,"$20,928 ","$12,759 ",,"$45,861 ","$17,860 ","$9,131 ",,"$9,063 "
198,"$9,906 ",,"$8,273 ",,"$15,385 ","$9,051 ","$25,162 ",,,
199,"$29,763 ",,"$33,895 ","$7,208 ","$25,173 ","$29,597 ","$41,607 ","$25,804 ","$20,970 ","$20,426 "
200,"$17,875 ","$15,543 ","$33,665 ","$11,516 ","$20,726 ","$17,557 ","$24,598 ","$19,155 ","$19,771 ","$13,580 "
201,"$13,328 ","$9,300 ","$10,978 ",,"$14,278 ","$18,241 ","$20,038 ","$9,166 ","$12,843 ","$13,768 "
202,"$16,950 ","$15,531 ","$16,265 ","$15,988 ","$20,830 ","$21,438 ","$13,248 ","$10,648 ","$15,011 ","$12,446 "
203,"$13,919 ","$10,208 ","$13,353 ",,"$9,745 ","$17,999 ","$9,424 ","$6,131 ","$9,426 ","$8,507 "
204,"$18,030 ","$11,024 ","$10,937 ","$16,986 ","$15,774 ","$19,943 ","$18,672 ","$8,676 ","$9,043 ","$15,152 "
205,"$15,947 ","$14,521 ","$43,217 ","$30,977 ","$35,213 ","$26,573 ","$15,565 ","$28,555 ","$29,569 ","$23,544 "
206,"$18,477 ","$5,390 ","$21,901 ","$12,137 ","$20,120 ","$60,338 ","$15,292 ","$12,143 ","$13,482 ","$14,534 "
207,"$131,776 ","$155,516 ","$91,839 ","$105,680 ","$119,634 ","$98,107 ","$95,405 ","$66,703 ","$88,117 ","$62,312 "
208,"$52,837 ","$41,454 ","$47,169 ","$41,905 ","$52,735 ","$52,416 ","$47,957 ","$30,732 ","$44,626 ","$36,212 "
215,"$188,038 ",,"$270,199 ",,,,"$217,219 ","$150,047 ",,"$134,050 "
216,"$160,876 ",,"$282,827 ",,"$258,744 ",,"$213,715 ","$177,268 ",,"$232,169 "
217,"$120,301 ",,,,"$234,707 ",,"$165,354 ","$123,241 ",,
218,"$106,204 ",,,,,,,,,
219,"$128,044 ",,"$222,894 ",,"$239,963 ",,"$154,527 ","$111,816 ",,"$172,341 "
220,"$100,893 ",,"$145,869 ",,"$139,431 ",,"$129,028 ","$84,897 ",,"$123,586 "
221,"$80,545 ",,,,"$115,021 ",,,"$69,649 ",,
222,"$156,050 ",,"$171,797 ",,,,"$282,250 ","$115,879 ",,"$154,196 "
223,,,"$137,159 ",,,,,"$100,620 ",,"$112,659 "
224,"$130,465 ",,"$164,056 ",,"$268,073 ",,"$314,188 ","$166,274 ",,"$95,250 "
225,"$83,717 ",,"$111,750 ",,"$253,120 ",,"$224,996 ","$122,094 ",,"$86,289 "
226,"$116,178 ",,"$129,492 ",,"$188,437 ",,"$188,639 ","$133,286 ",,"$133,559 "
227,"$72,468 ","$83,529 ","$103,901 ",,"$234,650 ",,"$185,656 ","$107,961 ","$99,975 ","$81,985 "
228,"$135,382 ",,"$167,646 ",,"$237,069 ",,"$129,256 ","$78,114 ",,
229,"$78,699 ",,"$67,438 ",,"$142,691 ",,,"$73,504 ",,"$147,251 "
231,"$117,059 ",,"$216,921 ",,"$213,456 ",,,,,"$83,669 "
232,"$111,139 ",,"$146,397 ",,"$222,509 ",,"$151,014 ",,,
233,"$131,385 ",,"$186,422 ",,"$192,281 ",,"$163,096 ","$93,868 ",,"$178,003 "
234,"$95,726 ",,"$138,492 ",,"$170,641 ",,"$145,424 ","$80,854 ",,"$118,084 "
235,"$86,429 ",,"$141,973 ",,"$107,557 ",,"$125,258 ","$84,383 ",,"$117,921 "
236,"$75,852 ",,"$106,825 ",,"$118,778 ",,"$116,653 ","$53,688 ",,"$99,106 "
239,"$73,457 ","$43,301 ","$96,486 ",,"$44,088 ","$84,033 ","$74,218 ","$83,599 ","$89,591 ","$18,451 "
240,"$38,448 ","$59,782 ","$67,304 ",,"$17,031 ",,"$53,387 ","$41,645 ","$196,034 ","$35,637 "
241,"$18,648 ",,"$27,561 ",,,,"$64,998 ","$11,900 ",,"$112,491 "
242,"$71,865 ","$50,235 ","$75,572 ",,"$86,377 ","$73,641 ","$84,250 ","$56,239 ","$71,814 ","$59,772 "
243,"$46,221 ","$51,416 ","$57,451 ",,"$66,625 ","$41,786 ","$62,104 ","$45,548 ","$55,771 ","$45,328 "
244,"$39,954 ","$42,125 ","$48,381 ",,"$54,545 ","$39,499 ","$64,608 ","$40,148 ",,"$39,855 "
245,"$109,000 ",,"$187,641 ",,,,"$187,809 ","$70,452 ",,"$106,814 "
246,"$84,982 ",,"$128,897 ",,"$82,594 ",,"$87,045 ","$62,207 ",,"$58,931 "
247,"$67,300 ",,"$99,920 ",,"$48,743 ",,"$58,069 ","$42,698 ",,"$43,702 "
248,"$80,092 ",,"$102,728 ",,,,"$68,386 ","$40,144 ",,"$57,611 "
249,"$62,635 ",,"$88,106 ",,,,"$47,475 ","$36,561 ",,"$36,144 "
250,"$72,608 ",,"$75,920 ",,"$59,583 ",,"$51,655 ","$41,518 ",,"$38,996 "
251,"$44,519 ",,"$66,121 ",,"$36,027 ",,"$40,733 ","$34,276 ",,"$44,143 "
252,"$75,014 ",,"$109,202 ","$58,512 ","$77,841 ","$93,646 ","$63,385 ","$45,156 ","$72,238 ","$53,692 "
253,"$47,813 ","$43,523 ","$87,701 ","$37,911 ","$68,065 ","$62,263 ","$69,896 ","$46,143 ","$32,136 ","$48,272 "
254,"$36,971 ",,"$50,040 ",,"$60,173 ","$84,960 ","$44,671 ","$34,698 ","$25,305 ","$39,173 "
255,"$24,390 ",,"$41,270 ",,"$49,256 ","$32,952 ","$40,586 ","$24,171 ","$37,108 ","$29,523 "
256,"$18,562 ",,"$33,847 ",,,"$41,705 ","$34,255 ","$20,588 ",,"$32,850 "
257,"$10,103 ",,,,,,,,,
258,,,"$57,839 ",,,"$62,690 ",,"$41,727 ",,"$35,459 "
259,"$31,310 ","$52,383 ","$67,218 ",,,,,,,"$40,404 "
260,"$49,374 ",,"$92,523 ",,"$45,114 ",,"$46,550 ","$44,610 ",,"$40,510 "
261,"$37,191 ","$10,672 ","$59,182 ",,"$69,269 ","$54,282 ","$9,281 ","$42,194 ",,"$46,122 "
262,"$36,347 ",,"$64,760 ",,"$46,234 ","$25,460 ","$33,053 ","$26,530 ","$67,849 ","$43,648 "
263,"$37,445 ",,,,,,"$31,278 ","$49,168 ",,
264,"$59,244 ","$31,437 ","$64,702 ","$98,849 ","$77,514 ","$51,865 ","$66,639 ","$74,829 ","$59,815 ","$38,689 "
265,"$76,249 ",,"$71,492 ",,,,"$72,797 ","$22,364 ",,"$66,463 "
266,"$108,220 ",,"$183,170 ",,,,"$99,708 ","$118,655 ",,
267,"$115,847 ",,"$169,038 ",,,,"$105,385 ","$93,452 ",,
268,"$184,699 ",,"$149,199 ",,"$100,592 ",,"$171,195 ","$97,929 ",,"$167,069 "
269,"$51,657 ","$57,648 ","$102,929 ",,"$80,744 ",,"$116,519 ","$67,679 ",,"$77,833 "
270,"$89,984 ","$64,364 ","$128,726 ",,"$109,999 ","$60,941 ","$103,387 ","$82,191 ","$121,395 ","$115,850 "
271,"$59,304 ","$69,983 ","$106,298 ","$32,988 ","$71,808 ","$70,012 ","$95,186 ","$53,811 ","$99,765 ","$69,851 "
272,"$45,418 ","$75,298 ","$95,726 ",,"$68,365 ","$99,405 ","$85,630 ","$65,156 ",,"$38,336 "
273,"$77,763 ",,"$133,929 ",,"$123,659 ",,"$70,055 ","$59,897 ",,"$87,447 "
274,"$57,405 ",,"$73,019 ","$24,973 ","$43,297 ",,"$53,675 ","$58,460 ",,"$74,177 "
280,"$34,727 ","$21,981 ","$36,168 ","$24,210 ","$42,460 ","$27,841 ","$24,925 ","$31,016 ","$26,837 ","$28,186 "
281,"$27,830 ","$13,684 ","$25,445 ","$12,365 ","$26,524 ","$16,241 ","$17,443 ","$21,011 ","$17,230 ","$20,361 "
282,"$22,166 ","$8,124 ","$23,818 ","$13,356 ","$22,785 ","$15,352 ","$15,699 ","$19,668 ","$13,249 ","$17,059 "
283,"$25,337 ","$13,006 ","$40,070 ","$6,543 ","$10,948 ","$26,506 ","$33,374 ","$29,944 ","$40,662 ","$21,045 "
284,"$13,159 ",,"$7,103 ",,"$14,894 ","$8,119 ","$10,516 ","$11,468 ",,
285,"$21,068 ",,"$4,611 ",,,,,,,
286,"$47,098 ",,"$49,521 ","$26,706 ","$52,987 ",,"$46,631 ","$35,371 ","$28,686 ","$27,654 "
287,"$29,824 ",,"$31,756 ","$26,406 ","$32,586 ",,"$23,066 ","$23,009 ","$20,709 ","$21,882 "
288,"$40,643 ",,,,,"$64,955 ","$69,316 ","$55,387 ",,"$10,030 "
289,"$23,206 ",,,,"$13,007 ","$32,927 ","$41,467 ","$25,318 ","$42,283 ",
291,"$26,241 ","$21,053 ","$25,933 ","$28,281 ","$28,643 ","$29,605 ","$21,420 ","$21,414 ","$21,389 ","$23,148 "
292,"$19,598 ","$12,573 ","$15,947 ","$15,373 ","$19,107 ","$21,602 ","$13,165 ","$13,498 ","$11,877 ","$15,334 "
293,"$15,719 ","$9,327 ","$12,929 ",,"$14,324 ","$19,253 ","$10,663 ","$8,445 ","$8,840 ","$11,905 "
294,,,,,,,,,"$24,882 ",
296,"$16,590 ",,"$23,642 ",,"$25,785 ","$11,835 ","$21,573 ",,,"$33,129 "
297,,,"$8,443 ",,"$9,170 ",,,,,
298,,,"$2,762 ",,,,,,,
299,"$21,394 ","$12,813 ","$22,447 ","$29,927 ","$25,573 ","$18,783 ","$24,002 ","$8,710 ","$15,662 ","$18,073 "
300,"$15,204 ","$22,190 ","$20,196 ","$18,605 ","$17,198 ","$14,840 ","$17,043 ","$21,839 ","$12,472 ","$12,491 "
301,"$13,635 ","$8,730 ","$11,050 ",,"$14,056 ","$9,728 ","$12,651 ","$21,168 ","$8,663 ","$9,103 "
302,"$21,307 ",,"$17,067 ",,"$18,130 ","$25,166 ","$8,201 ","$45,845 ","$17,803 ","$12,328 "
303,"$13,076 ","$8,045 ","$14,835 ",,"$21,958 ","$16,253 ","$12,251 ","$11,690 ","$16,485 ","$11,508 "
304,"$22,601 ","$15,137 ","$22,617 ","$24,968 ","$27,026 ","$22,129 ","$19,187 ","$15,323 ","$19,520 ","$19,550 "
305,"$16,484 ","$14,446 ","$13,813 ",,"$19,600 ","$15,034 ","$12,631 ","$14,906 ","$12,456 ","$11,598 "
306,"$39,015 ",,"$26,687 ",,"$15,482 ","$46,438 ","$48,091 ","$12,275 ","$10,807 ","$21,796 "
307,"$13,783 ",,"$21,630 ",,"$14,368 ","$10,478 ","$22,760 ","$21,452 ","$23,259 ","$12,928 "
308,"$27,876 ","$16,392 ","$21,745 ","$38,255 ","$28,898 ","$25,233 ","$19,034 ","$18,333 ","$26,863 ","$18,409 "
309,"$16,630 ","$10,881 ","$16,834 ","$13,175 ","$18,127 ","$18,713 ","$13,357 ","$13,848 ","$14,644 ","$14,128 "
310,"$12,441 ","$8,862 ","$13,227 ","$15,606 ","$14,034 ","$15,933 ","$9,866 ","$8,755 ","$11,299 ","$11,292 "
311,"$10,659 ","$8,574 ","$12,867 ",,"$28,689 ","$19,888 ","$16,780 ",,"$9,172 ","$15,328 "
312,"$18,324 ","$14,136 ","$16,166 ","$14,419 ","$20,333 ","$25,731 ","$15,328 ","$14,735 ","$15,017 ","$14,551 "
313,"$15,612 ","$11,983 ","$13,765 ","$10,513 ","$12,199 ","$22,855 ","$11,408 ","$11,993 ","$14,528 ","$11,366 "
314,"$30,655 ","$12,879 ","$45,651 ","$32,038 ","$50,315 ","$36,189 ","$35,491 ","$25,378 ","$38,760 ","$30,613 "
